Range GridFID=A3:B895,,FIDRangeXY is $B$4:$E$895,,,,,,,,,Range=TimeRange,,Range=Hourttime,
Range Name AddressXY,,,,,,,Range Name CASE#FID,,,,00:00,T1,0,T1
Adress,FID,Building Name,X,Y,,,Case,FID,Signal,,0.083333,T2,2,T2
"1300 Campo Sano DR, West",125,Art Building 1 - West,893521.13899999997,506120.29499999998,,,07000393,###,#N/A,,SXE,Indecent Exposure,,
1300 Memorial DR,16,Richter Library and Richter Chiller Plan,893634.74199999997,505003.36800000002,,,07000393,###,14,,THA,Theft of Auto Tag,,
1300 Theo Dickinson DR,90,Sculpture Studio,893194.61100000003,502210.72700000001,,,07000394,###,#N/A,,THB,Theft of Auto Part,,
1300A Memorial DR,6,Memorial Gate House,893144.23899999994,504985.89199999999,,,07000394,###,27,,THC,Theft from Motor Vehicle,,
1301 Memorial DR,7,Cox Science Center,893366.68200000003,505369.12400000001,,,07000395,###,#N/A,,THI,Theft by Pickpocketing,,
1301 Stanford DR,50,Lowe Art Museum,894666.745,504343.22399999999,,,07000395,###,18,,THK,Theft Other,,
1303 Stanford DR,43,Behavioral Medical Research Building,894817.86600000004,504665.10800000001,,,07000399,###,#N/A,,THL,Theft from Unsecured construction site,,
1306 Stanford DR,31,Whitten University Center,893821.40300000005,504487.02600000001,,,07000399,###,35,,TVA,Theft of Auto,,
1201 Stanford DR,44,Utility Plant #3,894967.58700000006,504654.63900000002,,,07000403,###,#N/A,,TVC,Theft of Truck/SUV,,
1310 Campo Sano DR,1,Art Annex Building 3,893411.61,506011.47399999999,,,07000403,###,14tpw,,TVE,Theft of Bicycle,,
"1311 Miller DR, Classroom",14,Law Classroom,893381.554,504887.60600000003,,,07000405,###,#N/A,,VAA,Vandalism Structure,,
"1311 Miller DR, Law Admin",11,Law Adminstration,893237.66,504807.88199999998,,,07000405,###,49,,VAB,Vandalism Vehicle,,
"1311 Miller DR, Meyer",10,Meyer Law Library,893159.37199999997,504798.79599999997,,,07000409,###,#N/A,,VAC,Vandalism Personal Property,,
"1311 Miller DR, New Building",15,New Law Building,893418.14899999998,504751.58100000001,,,07000409,###,#N/A,,VEA,DUI,,
"1311 Miller DR, New Law",12,New Law Library,893271.02899999998,504868.64199999999,,,07000409,###,14,,VEC,Traffic Offense NON DUI,,
"1311 Miller DR, Tax",13,Law Tax Wing,893288.86199999996,504707.23499999999,,,07000409,###,27,,VEG,Stolen Vehicle Recovery,,
1312 Miller DR,34,Ring Theater,893200.60100000002,504423.66399999999,,,07000413,###,#N/A,,WEA,Bomb Threats,,
1314 Miller DR,33,Maurice Gusman Concert Hall,893377.17200000002,504450.17200000002,,,07000413,###,52,,XOT,Trespassing,,
1320 Campo Sano DR,2,James L. Knight Physics Building,893382.26100000006,505799.98,,,07000419,###,#N/A,,ZOA,Trespass Warning,,
1320 S. Dixie Highway,127,Gables  One Tower,89379.23,502019.36,,,07000419,###,27,,,,,
1322 Campo Sano DR,126,Botany Greenhouse,893243.53399999999,505724.74800000002,,,07000425,###,#N/A,,,,,
1330 Campo Sano DR,3,Botany Greenhouse,893114.99,505413.41800000001,,,07000425,###,14lpr,,,,,
1330 Miller DR,32,Rathskeller CH Gautier Hall,893531.48600000003,504366.55300000001,,,07000426,###,#N/A,,,,,
"1365 Memorial DR, Ungar",5,Ungar Computer Center,893251.52300000004,505110.245,,,07000426,###,49,,,,,
"1365 Memorial DR, Utility",4,Utility Plant #1,893165.28099999996,505230.32799999998,,,07000438,###,#N/A,,,,,
1507 Levante AV,95,Max Orvitz Building - Administrative Services,891853.24100000004,501275.31300000002,,,07000438,###,14tpw,,,,,
1525 Albenga AV,109,University Village North Garage 111 on map,891786.45900000003,502485.90500000003,,,07000454,###,#N/A,,,,,
1527 Albenga AV,110,University Village Main Office,891783.19900000002,502422.848,,,07000454,###,41,,,,,
1531 Brescia AV,101,Casa Bacardi _ICCAS,891769.80900000001,501683.84299999999,,,07000455,###,#N/A,,,,,
1535 Levante AV,94,Physical Plant Complex,891627.89,501154.33500000002,,,07000455,###,#N/A,,,,,
1540 Corniche AV,108,Building 2,891547.33,502483.14199999999,,,07000455,###,#N/A,,,,,
1540 Levante AV,92,Rainbow Building,892004.78300000005,501116.19300000003,,,07000455,###,14,,,,,
1541 Brescia AV,100,"School of Education, Research at Brescia",891661.20299999998,501694.89199999999,,,07000455,###,28,,,,,
1550 Brescia AV,97,Founders Hall 100 on map,891684.67799999996,501443.87400000001,,,07000455,###,35j,,,,,
1551 Brescia AV,99,Albert Pick Hall,891580.03899999999,501686.75099999999,,,07000456,###,#N/A,,,,,
1555 Levante AV,93,Maintenance Building,891481.01699999999,501161.06900000002,,,07000456,###,26,,,,,
1560 Liguria AV,103,Building 6 105 on map,891566.97100000002,501944.41700000002,,,07000486,###,#N/A,,,,,
1565 Liguria AV,106,Building 5 109 on map,891560.51199999999,502214.28499999997,,,07000486,###,35y,,,,,
1570 Liguria AV,104,Building 7 106 on map,891512.72,501942.45299999998,,,07000494,###,#N/A,,,,,
1575 Liguria AV,105,Building 4 108 on map,891500.13199999998,502206.99300000002,,,07000494,###,35j,,,,,
1585 Albenga AV,107,Building 3,891478.31499999994,502478.739,,,07000495,###,#N/A,,,,,
1590 Scodella AV,102,University Village South Garage 104 on map,891475.59199999995,501707.87099999998,,,07000495,###,28,,,,,
5030 Brunson DR,19,"School of Nursing and Health Studies, West",894255.06599999999,505594.31900000002,,,07000497,###,#N/A,,,,,
5050 Brunson DR,20,Allen Hall School of Continuing Studies,894420.18700000003,505665.27899999998,,,07000497,###,28,,,,,
"5100 Brunson DR, Student Center",21,"School of Communication, Student Center",894413.07900000003,505459.51,,,07000506,###,#N/A,,,,,
"5100 Brunson DR, Wolfson",23,Wolfson Building,894554.17,505568.55,,,07000506,###,52,,,,,
5100 Pisano AV,25,"Centrex Building, Telecommunications",894657.04599999997,505512.82299999997,,,07000508,###,#N/A,,,,,
"5150 Brunson DR, LIRC",22,Whitten Learning Center (LIRC),894535.49300000002,505370.87,,,07000508,###,28,,,,,
5183 Ponce de Leon BLVD,49,Mahoney Pearson Garage,895569.78700000001,504323.94,,,07000532,###,#N/A,,,,,
"5185 Ponce de Leon BLVD, Long",130,"Pearson Residential College, Long Wing",895341.32,504085.989,,,07000532,###,#N/A,,,,,
"5185 Ponce de Leon BLVD, Short",128,"Pearson Residential College, Short Wing",895168.85600000003,504274.32299999997,,,07000532,###,33exp,,,,,
"5185 Ponce de Leon BLVD, Side",46,Pearson Side Wing,895313.53,504251.54700000002,,,07000532,###,26v,,,,,
5200 Brunson DR,24,"School of Nursing and Health Studies, East",894706.67700000003,505424.42,,,07000533,###,#N/A,,,,,
5200 University DR,26,Panhellenic Mary B Merritt,894776.12800000003,505230.76899999997,,,07000533,###,#N/A,,,,,
5202 University DR,27,Merrick Building,894455.40899999999,504947.43699999998,,,07000533,###,35j,,,,,
5225 Ponce de Leon Blvd,53,Writing Center,894801.88399999996,503471.82400000002,,,07000533,###,14lpr,,,,,
"5250 University DR, Business",29,School of Business,894302.49800000002,504669.35700000002,,,07000534,###,#N/A,,,,,
"5250 University DR, Jenkins",30,Jenkins Building,894450.64800000004,504671.13099999999,,,07000534,###,28,,,,,
5401 Ponce de Leon Blvd,51,Stanford Gatehouse,895056.26599999995,503786.853,,,07000538,###,#N/A,,,,,
"5501 San Amaro DR, Foster Memorial",41,Bertha Foster Memorial Music Building,892819.9,504115.40600000002,,,07000538,###,27,,,,,
"5501 San Amaro DR, Handleman",39,Handleman (Music),892977.71,504116.50400000002,,,07000561,###,#N/A,,,,,
"5501 San Amaro DR, L&Tech Ctr.",35,Martha & Austin Weeks Music Library & Tech. Ctr.,893129.473,504239.35800000001,,,07000561,###,27,,,,,
"5501 San Amaro DR, Library",38,Pick Music Library,893007.12699999998,504051.35399999999,,,07000586,###,#N/A,,,,,
"5501 San Amaro DR, Percussion",42,Percussion Building,892739.56900000002,503972.99699999997,,,07000586,###,934,,,,,
"5501 San Amaro DR, R&P",37,L. Austin Weeks Center for Recording and Performance,893155.73300000001,504094.34899999999,,,07000599,###,#N/A,,,,,
"5501 San Amaro DR, Rehearsal",40,Rehearsal Center,892874.24300000002,503990.27299999999,,,07000599,###,39,,,,,
"5501 San Amaro DR, Volpe",36,Volpe Classroom (Music) + A25,893071.28099999996,504170.62800000003,,,07000601,###,#N/A,,,,,
