address,fid,building_name,x,y
1575 Liguria AV,105,Building 4 108 on map,891500.13199999998,502206.99300000002
1585 Albenga AV,107,Building 3,891478.31499999994,502478.739
1590 Scodella AV,102,University Village South Garage 104 on map,891475.59199999995,501707.87099999998
5030 Brunson DR,19,"School of Nursing and Health Studies, West",894255.06599999999,505594.31900000002
5050 Brunson DR,20,Allen Hall School of Continuing Studies,894420.18700000003,505665.27899999998
"5100 Brunson DR, Student Center",21,"School of Communication, Student Center",894413.07900000003,505459.51
"5100 Brunson DR, Wolfson",23,Wolfson Building,894554.17,505568.55
5100 Pisano AV,25,"Centrex Building, Telecommunications",894657.04599999997,505512.82299999997
"5150 Brunson DR, LIRC",22,Whitten Learning Center (LIRC),894535.49300000002,505370.87
5183 Ponce de Leon BLVD,49,Mahoney Pearson Garage,895569.78700000001,504323.94
"5185 Ponce de Leon BLVD, Long",130,"Pearson Residential College, Long Wing",895341.32,504085.989
"5185 Ponce de Leon BLVD, Short",128,"Pearson Residential College, Short Wing",895168.85600000003,504274.32299999997
"5185 Ponce de Leon BLVD, Side",46,Pearson Side Wing,895313.53,504251.54700000002
5200 Brunson DR,24,"School of Nursing and Health Studies, East",894706.67700000003,505424.42
5200 University DR,26,Panhellenic Mary B Merritt,894776.12800000003,505230.76899999997
5202 University DR,27,Merrick Building,894455.40899999999,504947.43699999998
5225 Ponce de Leon Blvd,53,Writing Center,894801.88399999996,503471.82400000002
"5250 University DR, Business",29,School of Business,894302.49800000002,504669.35700000002
"5250 University DR, Jenkins",30,Jenkins Building,894450.64800000004,504671.13099999999
5401 Ponce de Leon Blvd,51,Stanford Gatehouse,895056.26599999995,503786.853
"5501 San Amaro DR, Foster Memorial",41,Bertha Foster Memorial Music Building,892819.9,504115.40600000002
"5501 San Amaro DR, Handleman",39,Handleman (Music),892977.71,504116.50400000002
"5501 San Amaro DR, L&Tech Ctr.",35,Martha & Austin Weeks Music Library & Tech. Ctr.,893129.473,504239.35800000001
"5501 San Amaro DR, Library",38,Pick Music Library,893007.12699999998,504051.35399999999
"5501 San Amaro DR, Percussion",42,Percussion Building,892739.56900000002,503972.99699999997
"5501 San Amaro DR, R&P",37,L. Austin Weeks Center for Recording and Performance,893155.73300000001,504094.34899999999
"5501 San Amaro DR, Rehearsal",40,Rehearsal Center,892874.24300000002,503990.27299999999
"5501 San Amaro DR, Volpe",36,Volpe Classroom (Music) + A25,893071.28099999996,504170.62800000003
5513 Geo E Merrick St,52,Student Health Center,894509.60100000002,504011.56800000003
5600 Geo E Merrick St,55,Building #21 - Guidance Center,894213.16599999997,503867.28399999999
5615 Pavia St,54,Pavia Garage,894485.30200000003,503768.17499999999
5616 Geo E Merrick St,56,Building #22 - Brunstetter,894333.75800000003,503613.75900000002
5638 Geo E Merrick St,57,Building #23 - Grosvenor,894488.27500000002,503394.261
"5665 Ponce de Leon BLVD, Flipse",123,Flipse Building,893056.50699999998,501950.05499999999
"5665 Ponce de Leon BLVD, Garage",122,Ponce Garage,892871.05299999996,501865.95600000001
5685 Ponce de Leon BLVD,89,Ron Fraser Baseball Building,892528.973,501450.652
"5779 San Amaro DR, Yaron Field House",78,Yaron Field House Storage,892599.21799999999,503149.25400000002
5801 Red Road,120,Old School of Nursing - to be demolished,891426.14199999999,502715.17
"5801 San Amaro DR, Tennis Building",79,"Tennis Building, Neil Schiff",892347.24699999997,502912.07500000001
"5801 San Amaro DR, Tennis Center",80,"Tennis Center, Neil Schiff",892360.52,503032.47899999999
5813 Ponce de Leon BLVD,91,William L. McKnight Building,892276.28300000005,501189.15100000001
"5821 Hurricane DR, Center",82,Hecht Athletic Center,892358.66299999994,502658.90399999998
"5821 San Amaro DR, Fame",84,Hall of Fame,892327.304,502522.777
"5821 San Amaro DR, Sports",83,Knight Sports Complex,892481.29700000002,502538.70199999999
5850 San Amaro DR,111,Building 1,892024.495,502487.71799999999
5915 Ponce de Leon BLVD,132,Plummer Building,892107.03200000001,501012.946
6001 San Aamro DR,85,Cobb Stadium,892265.92099999997,502165.49699999997
