address,fid,building_name,x,y
L23,422,grid L23,892382.01899999997,501791.78700000001
L24,423,grid L24,892478.14199999999,501690.527
L25,424,grid L25,892558.69099999999,501591.01199999999
L26,425,grid L26,892635.23499999999,501506.00099999999
L27,922,grid L27,892714.48899999994,501421.61200000002
L28,923,grid L28,892784.81499999994,501338.071
LL1,426,grid LL1,892948.228,505884.31400000001
LL12,427,grid LL12,893821.88199999998,504905.38400000002
LL13,428,grid LL13,893890.64399999997,504811.74
LL14,429,grid LL14,893972.29200000002,504729.69900000002
LL15,430,grid LL15,894065.11499999999,504626.609
LL16,431,grid LL16,894146.33499999996,504536.40500000003
LL17,432,grid LL17,894239.15800000005,504433.315
LL18,433,grid LL18,894300.18400000001,504348.26199999999
LL19,434,grid LL19,894389.995,504263.79300000001
LL2,435,grid LL2,893012.37800000003,505814.55699999997
LL20,436,grid LL20,894487.54099999997,504174.73300000001
LL21,437,grid LL21,894560.598,504084.95699999999
LL22,438,grid LL22,894645.25800000003,503982.29499999998
LL23,439,grid LL23,894730.34600000002,503887.79499999998
LL24,440,grid LL24,894807.68900000001,503801.886
LL25,441,grid LL25,894892.78599999996,503707.38699999999
LL26,442,grid LL26,894970.56599999999,503629.641
LL27,974,grid LL27,895063.69400000002,503532.91
LL28,975,grid LL28,895134.04,503449.43699999998
LL3,443,grid LL3,893087.00199999998,505723.76899999997
LL4,444,grid LL4,893170.00300000003,505639.49699999997
LL5,445,grid LL5,893250.39199999999,505533.79700000002
LL8,446,grid LL8,893492.70700000005,505262.33299999998
LL9,447,grid LL9,893566.19200000004,505176.85200000001
M10,448,grid M10,891395.98,503043.23499999999
M11,449,grid M11,891486.03200000001,502943.22200000001
M12,450,grid M12,891563.07499999995,502867.71399999998
M13,451,grid M13,891644.12199999997,502777.70199999999
M14,452,grid M14,891731.16599999997,502711.2
M15,453,grid M15,891811.21699999995,502602.18099999998
M18,454,grid M18,892053.86,502322.64299999998
M19,455,grid M19,892139.40899999999,502227.63
M20,456,grid M20,892220.45600000001,502137.61800000002
M21,457,grid M21,892297.00100000005,502052.60700000002
M22,458,grid M22,892401.05900000001,501947.09499999997
M23,459,grid M23,892468.1,501862.58199999999
M24,460,grid M24,892563.15300000005,501767.07199999999
M25,461,grid M25,892639.19900000002,501672.55699999997
M26,462,grid M26,892720.74399999995,501592.049
M27,924,grid M27,892798.43500000006,501499.64500000002
M28,925,grid M28,892872.81499999994,501419.755
MM1,463,grid MM1,893033.70799999998,505953.50400000002
MM12,464,grid MM12,893907.79099999997,504982.73700000002
MM13,465,grid MM13,893980.848,504892.96
MM14,466,grid MM14,894065.93599999999,504798.46100000001
MM15,467,grid MM15,894151.451,504712.125
MM16,468,grid MM16,894232.67099999997,504621.92099999997
MM17,469,grid MM17,894317.33100000001,504519.25799999997
MM18,470,grid MM18,894406.71400000004,504428.62599999999
MM19,471,grid MM19,894484.06700000004,504342.71799999999
MM2,472,grid MM2,893095.59,505884.772
MM21,473,grid MM21,894641.78399999999,504150.27899999998
MM22,474,grid MM22,894735.46200000006,504063.51500000001
MM23,475,grid MM23,894808.09199999995,503965.57500000001
MM24,476,grid MM24,894897.47499999998,503874.94400000002
MM25,477,grid MM25,894986.43,503776.14899999998
MM26,478,grid MM26,895056.04700000002,503698.83100000001
MM27,976,grid MM27,895155.14300000004,503610.43699999998
MM28,977,grid MM28,895223.228,503532.14799999999
MM3,479,grid MM3,893161.34,505811.755
MM5,480,grid MM5,893347.84100000001,505621.9
MM6,481,grid MM6,893424.69099999999,505536.00799999997
MM7,482,grid MM7,893511.74199999997,505436.21600000001
MM8,483,grid MM8,893580.12800000003,505354.353
MM9,484,grid MM9,893674.48400000005,505241.47399999999
N10,485,grid N10,891513.50600000005,503103.78200000001
N11,486,grid N11,891586.04599999997,503033.27399999998
N12,487,grid N12,891644.08200000005,502958.76299999998
N13,488,grid N13,891729.63100000005,502863.75
N14,489,grid N14,891810.18,502764.23499999999
N15,490,grid N15,891895.23199999996,502659.71899999998
N16,491,grid N16,891987.27599999995,502597.71899999998
N17,492,grid N17,892071.83,502483.7
N18,493,grid N18,892157.87699999998,502398.19099999999
N19,494,grid N19,892238.924,502308.179
N20,495,grid N20,892323.97600000002,502203.663
N21,496,grid N21,892396.01800000004,502123.65299999999
N22,497,grid N22,892481.06900000002,502019.13699999999
N23,498,grid N23,892557.61399999994,501934.12599999999
N24,499,grid N24,892634.65599999996,501858.61800000002
N25,500,grid N25,892723.21400000004,501730.09499999997
N26,501,grid N26,892805.755,501668.59299999999
N27,926,grid N27,892893.05900000001,501584.84499999997
N28,927,grid N28,892962.16799999995,501502.65600000002
NN1,502,grid NN1,893115.74899999995,506035.152
NN11,503,grid NN11,893920.21499999997,505141.70199999999
NN12,504,grid NN12,893985.96400000004,505068.68
NN13,505,grid NN13,894074.92,504969.88500000001
NN14,506,grid NN14,894156.14,504879.68099999998
NN18,507,grid NN18,894488.755,504510.27399999998
NN19,508,grid NN19,894573.70799999998,504426.527
NN2,509,grid NN2,893177.63100000005,505966.42499999999
NN21,510,grid NN21,894728.12,504235.79399999999
NN22,511,grid NN22,894821.37100000004,504140.86700000003
NN23,512,grid NN23,894894.42799999996,504051.09100000001
NN24,513,grid NN24,894972.63600000006,503981.50799999997
NN25,514,grid NN25,895072.33900000004,503853.50099999999
NN26,515,grid NN26,895150.11899999995,503775.75599999999
NN27,978,grid NN27,895240.21,503687.03200000001
NN28,979,grid NN28,895314.41200000001,503604.62300000002
NN3,516,grid NN3,893254.55599999998,505872.353
NN5,517,grid NN5,893436.02399999998,505684.74300000002
NN6,518,grid NN6,893492.01199999999,505605.79200000002
NN8,519,grid NN8,893676.98199999996,505420.47700000001
NN9,520,grid NN9,893750.03899999999,505330.701
O11,521,grid O11,891671.55,503119.32199999999
O12,522,grid O12,891748.09900000005,503034.31099999999
O13,523,grid O13,891829.64399999997,502953.80200000003
O14,524,grid O14,891919.69700000004,502853.78899999999
O15,525,grid O15,891977.23400000005,502769.77399999998
O16,526,grid O16,892090.29799999995,502654.261
O17,527,grid O17,892162.34,502574.25
O18,528,grid O18,892257.39199999999,502478.74
O19,529,grid O19,892334.43500000006,502403.23200000002
O20,530,grid O20,892423.98899999994,502293.71600000001
O21,531,grid O21,892496.03099999996,502213.70500000002
O22,532,grid O22,892567.57499999995,502124.19099999999
O23,533,grid O23,892671.63300000003,502018.679
O24,534,grid O24,892739.17200000002,501943.67
O26,535,grid O26,892900.76800000004,501754.14299999998
O27,928,grid O27,892988.76699999999,501666.125
O28,929,grid O28,893060.44400000002,501583.80099999998
OO1,536,grid OO1,893222.27899999998,506115.516
OO12,537,grid OO12,894086.25399999996,505155.64899999998
OO13,538,grid OO13,894173.25600000005,505070.38
OO14,539,grid OO14,894261.07299999997,504972.88500000001
OO18,540,grid OO18,894578.95900000003,504591.49400000001
OO19,541,grid OO19,894664.42500000005,504505.158
OO2,542,grid OO2,893272.13100000005,506051.51299999998
OO21,543,grid OO21,894843.86899999995,504314.23100000003
OO22,544,grid OO22,894907.70700000005,504226.38299999997
OO23,545,grid OO23,894992.79500000004,504131.88299999997
OO25,546,grid OO25,895154.80700000003,503943.31199999998
OO26,547,grid OO26,895240.32299999997,503856.97600000002
OO27,980,grid OO27,895327.93599999999,503766.02100000001
OO28,981,grid OO28,895401.33799999999,503692.51899999997
OO3,548,grid OO3,893341.32,505966.03200000001
OO5,549,grid OO5,893519.65899999999,505776.60499999998
OO8,550,grid OO8,893750.43299999996,505494.39
OO9,551,grid OO9,893836.804,505424.38
P12,552,grid P12,891838.72600000002,503124.44099999999
P13,553,grid P13,891921.95600000001,503032.005
P14,554,grid P14,892005.18599999999,502939.56800000003
P15,555,grid P15,892085.21600000001,502850.68699999998
P16,556,grid P16,892175.20200000005,502757.89600000001
P17,557,grid P17,892243.63800000004,502658.37699999998
P20,558,grid P20,892504.80099999998,502392.18099999998
P21,559,grid P21,892584.59699999995,502296.06800000003
P22,560,grid P22,892680.598,502189.73800000001
P23,561,grid P23,892757.14199999999,502104.72700000001
P24,562,grid P24,892829.68200000003,502034.22
P26,563,grid P26,892999.28700000001,501815.685
P27,930,grid P27,893082.04,501750.109
P28,931,grid P28,893153.85199999996,501670.35399999999
PP1,564,grid PP1,893309.30900000001,506197.98300000001
PP10,565,grid PP10,894038.27800000005,505397.26
PP11,566,grid PP11,894102.728,505319
PP12,567,grid PP12,894171.78099999996,505240.739
PP13,568,grid PP13,894268.69400000002,505146.087
PP14,569,grid PP14,894337.65099999995,505049.49800000002
PP16,570,grid PP16,894497.25300000003,504864.62800000003
PP17,571,grid PP17,894591.62600000005,504761.04800000001
PP18,572,grid PP18,894674.49,504678.18400000001
PP19,573,grid PP19,894755.05200000003,504597.62199999997
PP2,574,grid PP2,893369.88800000004,506139.10100000002
PP20,575,grid PP20,894844.82200000004,504503.24900000001
PP21,576,grid PP21,894923.08200000005,504406.57400000002
PP22,577,grid PP22,895003.64399999997,504312.201
PP24,578,grid PP24,895194.69200000004,504111.946
PP25,579,grid PP25,895256.84,504040.59100000001
PP26,580,grid PP26,895346.64300000004,503948.90299999999
PP27,982,grid PP27,895425.36300000001,503860.96500000003
PP28,983,grid PP28,895495.71,503777.49200000003
PP3,581,grid PP3,893449.33900000004,506061.40500000003
PP6,582,grid PP6,893685.32799999998,505780.37099999998
PP7,583,grid PP7,893779.67,505690.446
PP8,584,grid PP8,893861.92,505597.85499999998
PP9,585,grid PP9,893945.68700000003,505493.32699999999
Q13,586,grid Q13,891990.73199999996,503116.70500000002
Q14,587,grid Q14,892078.27300000004,503028.74300000002
Q15,588,grid Q15,892177.79500000004,502918.212
Q16,589,grid Q16,892252.43700000003,502835.31300000002
Q17,590,grid Q17,892327.07900000003,502752.41499999998
Q20,591,grid Q20,892571.28,502471.94099999999
Q21,592,grid Q21,892671.424,502388.82900000003
Q22,593,grid Q22,892750.50899999996,502291.41100000002
Q23,594,grid Q23,892824.69200000004,502199.76
Q24,595,grid Q24,892912.223,502111.79800000001
Q26,596,grid Q26,893085.93900000001,501909.61599999998
Q27,932,grid Q27,893173.69200000004,501827.73700000002
Q28,933,grid Q28,893240.50100000005,501750.82
QQ1,597,grid QQ1,893397.00199999998,506282.58500000002
QQ13,598,grid QQ13,894348.55799999996,505238.89799999999
QQ14,599,grid QQ14,894429.12,505144.52500000002
QQ16,600,grid QQ16,894606.35699999996,504948.87400000001
QQ17,601,grid QQ17,894690.37199999997,504846.44400000002
QQ18,602,grid QQ18,894761.72699999996,504765.88199999998
QQ2,603,grid QQ2,893475.26300000004,506227.28200000001
QQ20,604,grid QQ20,894936.66299999994,504586.34299999999
QQ22,605,grid QQ22,895097.78700000001,504397.59700000001
QQ23,606,grid QQ23,895189.85800000001,504323.94
QQ25,607,grid QQ25,895367.09600000002,504128.28899999999
QQ26,608,grid QQ26,895438.451,504047.72700000001
QQ27,984,grid QQ27,895511.89199999999,503941.283
QQ28,985,grid QQ28,895589.94900000002,503859.93800000002
QQ4,609,grid QQ4,893613.36899999995,506038.53600000002
QQ5,610,grid QQ5,893702.44799999997,505963.28600000002
QQ6,611,grid QQ6,893785.31200000003,505857.386
QQ7,612,grid QQ7,893891.19400000002,505779.12599999999
QQ8,613,grid QQ8,893962.549,505698.56300000002
QQ9,614,grid QQ9,894047.71499999997,505599.587
R14,615,grid R14,892200.78500000003,503105.69699999999
R15,616,grid R15,892261.61100000003,503010.35800000001
R16,617,grid R16,892339.48199999996,502905.35
R17,618,grid R17,892427.48199999996,502826.14
R18,619,grid R18,892506.27099999995,502738.636
R19,620,grid R19,892611.18099999998,502643.25699999998
R20,621,grid R20,892672.14099999995,502554.41800000001
R21,622,grid R21,892750.93,502466.91399999999
R22,623,grid R22,892838.01199999999,502370.19900000002
R23,624,grid R23,892916.80099999998,502282.696
R24,625,grid R24,893008.48899999994,502190.12800000003
R25,626,grid R25,893090.96600000001,502089.266
R26,627,grid R26,893169.75399999996,502001.76299999998
R27,934,grid R27,893261.55799999996,501906.85200000001
R28,935,grid R28,893330.80200000003,501827.23200000002
RR11,628,grid RR11,894283.02899999998,505482.08299999998
RR12,629,grid RR12,894351.96100000001,505399.47200000001
RR13,630,grid RR13,894438.59400000004,505309.19400000002
RR14,631,grid RR14,894527.93400000001,505222.29499999998
RR16,632,grid RR16,894701.81700000004,505028.07299999997
RR17,633,grid RR17,894779.52800000005,504930.58199999999
RR18,634,grid RR18,894866.30500000005,504837.82
RR19,635,grid RR19,894941.11300000001,504745.05900000001
RR2,636,grid RR2,893553.52300000004,506287.12800000003
RR20,637,grid RR20,895021.90500000003,504664.266
RR21,638,grid RR21,895102.69799999997,504571.50400000002
RR22,639,grid RR22,895186.48300000001,504469.766
RR23,640,grid RR23,895273.26,504377.00400000002
RR24,641,grid RR24,895358.73499999999,504310.22399999999
RR26,642,grid RR26,895509.652,504122.65700000001
RR27,986,grid RR27,895607.196,504019.875
RR28,987,grid RR28,895677.67500000005,503938.92700000003
RR3,643,grid RR3,893624.87800000003,506215.77299999999
RR4,644,grid RR4,893703.13899999997,506128.30599999998
RR5,645,grid RR5,893776.79599999997,506045.44099999999
RR6,646,grid RR6,893880.37600000005,505932.65399999998
RR7,647,grid RR7,893963.39300000004,505845.8
RR8,648,grid RR8,894021.70499999996,505769.07400000002
RR9,649,grid RR9,894115.23400000005,505671.47899999999
S13,650,grid S13,892179.09699999995,503277.97100000002
S14,651,grid S14,892275.39,503189.549
S15,652,grid S15,892364.56599999999,503104.391
S16,653,grid S16,892449.55500000005,502996.12
S17,654,grid S17,892523.73800000001,502904.47
S18,655,grid S18,892607.13199999998,502821.11300000001
S19,656,grid S19,892694.67299999995,502733.15
S20,657,grid S20,892773.00300000003,502636.89399999997
S21,658,grid S21,892843.49800000002,502558.60200000001
S22,659,grid S22,892939.33200000005,502461.42800000001
S23,660,grid S23,893018.12100000004,502373.92499999999
S24,661,grid S24,893101.05700000003,502281.815
S26,662,grid S26,893271.07400000002,502092.99200000003
S27,936,grid S27,893353.74899999995,501994.75699999998
S28,937,grid S28,893425.56099999999,501915.00099999999
SS10,663,grid SS10,894286.63699999999,505655.25400000002
SS11,664,grid SS11,894375,505554.32900000003
SS14,665,grid SS14,894626.47600000002,505275.03600000002
SS15,666,grid SS15,894661.41200000001,505201.13299999997
SS16,667,grid SS16,894778.41,505106.29599999997
SS17,668,grid SS17,894867.47499999998,505007.38
SS18,669,grid SS18,894956.54,504908.46399999998
SS19,670,grid SS19,895029.30700000003,504815.94500000001
SS20,671,grid SS20,895113.71299999999,504733.90500000003
SS21,672,grid SS21,895202.19799999997,504623.93099999998
SS22,673,grid SS22,895280.78399999999,504536.652
SS23,674,grid SS23,895354.13199999998,504455.19199999998
SS24,675,grid SS24,895422.81900000002,504390.60800000001
SS26,676,grid SS26,895610.84699999995,504170.08
SS27,988,grid SS27,895686.01500000001,504098.06400000001
SS28,989,grid SS28,895763.93900000001,504014.19300000003
SS4,677,grid SS4,893781.82200000004,506189.717
SS5,678,grid SS5,893872.04599999997,506112.91600000003
SS6,679,grid SS6,893950.63300000003,506025.63699999999
SS7,680,grid SS7,894052.23499999999,505911.03
SS7,681,grid SS7,864033.87899999996,505921.48100000003
SS8,682,grid SS8,894123.52300000004,505833.62300000002
SS9,683,grid SS9,894207.348,505740.52500000002
T13,684,grid T13,892262.45400000003,503361.36499999999
T14,685,grid T14,892349.995,503273.402
T15,686,grid T15,892449.272,503180.66100000002
T16,687,grid T16,892524.32499999995,503085.12300000002
T17,688,grid T17,892620.36,502978.46500000003
T18,689,grid T18,892700.74300000002,502896.34100000001
T19,690,grid T19,892776.50899999996,502790.745
T20,691,grid T20,892856.89199999999,502708.62
T21,692,grid T21,892937.27500000002,502626.49599999998
T22,693,grid T22,893016.95,502530.85800000001
T23,694,grid T23,893106.93599999999,502438.06699999998
T24,695,grid T24,893190.16700000002,502345.63099999999
T25,696,grid T25,893273.397,502253.19400000002
T26,697,grid T26,893349.826,502172.239
T27,938,grid T27,893441.61499999999,502073.87199999997
T28,939,grid T28,893512.21,501995.46799999999
TT10,698,grid TT10,894392.84600000002,505714.79599999997
TT11,699,grid TT11,894483.81499999994,505620.69900000002
TT14,700,grid TT14,894697.45900000003,505360.02100000001
TT16,701,grid TT16,894870.92799999996,505179.06400000001
TT17,702,grid TT17,894948.93500000006,505080.72700000001
TT18,703,grid TT18,895027.522,504993.44799999997
TT19,704,grid TT19,895111.34699999995,504900.35100000002
TT20,705,grid TT20,895197.48100000003,504819.72600000002
TT21,706,grid TT21,895275.91599999997,504722.16600000003
TT22,707,grid TT22,895362.82400000002,504621.05699999997
TT23,708,grid TT23,895447.61499999999,504540.86
TT24,709,grid TT24,895518.223,504463.50599999999
TT26,710,grid TT26,895710.24,504260.94199999998
TT27,990,grid TT27,895773.60800000001,504174.52600000001
TT28,991,grid TT28,895847.67700000003,504089.59100000001
TT5,711,grid TT5,893951.76800000004,506153.09
TT6,712,grid TT6,894037.33200000005,506093.16499999998
TT7,713,grid TT7,894126.397,505994.24900000001
TT8,714,grid TT8,894205.56299999997,505918.02799999999
TT9,715,grid TT9,894288.80900000001,505813.87199999997
U12,716,grid U12,892271.62800000003,503536.40899999999
U13,717,grid U13,892359.96,503439.26
U14,718,grid U14,892441.64500000002,503347.58600000001
U15,719,grid U15,892537.48,503250.41200000001
U18,720,grid U18,892782.13899999997,502978.69
U19,721,grid U19,892882.58799999999,502889.22600000002
U20,722,grid U20,892948.01,502794.47200000001
U21,723,grid U21,893030.946,502702.36300000001
U22,724,grid U22,893105.12899999996,502610.712
U23,725,grid U23,893192.67,502522.75
U24,726,grid U24,893267.31200000003,502439.85200000001
U25,727,grid U25,893366.83400000003,502329.321
U26,728,grid U26,893436.87100000004,502242.27600000001
U27,940,grid U27,893531.78099999996,502147.71399999998
U28,941,grid U28,893597.37300000002,502072.14899999998
UU10,729,grid UU10,894457.929,505824.967
UU11,730,grid UU11,894551.65399999998,505709.17499999999
UU12,731,grid UU12,894626.73899999994,505660.88699999999
UU13,732,grid UU13,894732.68,505566.63099999999
UU14,733,grid UU14,894804.28899999999,505451.99699999997
UU15,734,grid UU15,894854.94200000004,505360.63799999998
UU16,735,grid UU16,894960.30299999996,505255.32299999997
UU17,736,grid UU17,895028.41200000001,505179.68099999998
UU18,737,grid UU18,895117.47600000002,505080.76500000001
UU19,738,grid UU19,895196.06299999997,504993.48599999998
UU20,739,grid UU20,895279.88800000004,504900.38799999998
UU21,740,grid UU21,895357.89500000002,504802.05099999998
UU22,741,grid UU22,895447.53899999999,504714.19300000003
UU23,742,grid UU23,895542.42299999995,504620.51500000001
UU24,743,grid UU24,895620.43,504522.179
UU25,744,grid UU25,895711.23300000001,504456.435
UU26,745,grid UU26,895777.603,504347.62
UU27,992,grid UU27,895867.58299999998,504251.92099999997
UU28,993,grid UU28,895940.85199999996,504175.89299999998
UU6,746,grid UU6,894119.15,506131.01199999999
UU7,747,grid UU7,894222.17,506086.80499999999
UU8,748,grid UU8,894300.75600000005,505999.52600000001
UU9,749,grid UU9,894378.76300000004,505901.18900000001
V11,750,grid V11,892307.36199999996,503682.16899999999
V12,751,grid V12,892367.42500000005,503605.98700000002
V13,752,grid V13,892450.81900000002,503522.63
V14,753,grid V14,892533.75399999996,503430.52100000001
V15,754,grid V15,892616.69,503338.41200000001
V16,755,grid V16,892699.47699999996,503232.11599999998
V19,756,grid V19,892939.68,502970.43400000001
V20,757,grid V20,893026.76199999999,502873.71899999998
V21,758,grid V21,893113.84400000004,502777.005
V22,759,grid V22,893192.63300000003,502689.50099999999
V23,760,grid V23,893275.56799999997,502597.39199999999
V24,761,grid V24,893367.25600000005,502504.82400000002
V25,762,grid V25,893445.58600000001,502408.56800000003
V26,763,grid V26,893520.228,502325.67
V27,942,grid V27,893608.15399999998,502228.71899999998
V28,943,grid V28,893683.75199999998,502147.478
VV10,764,grid VV10,894571.98300000001,505885.51899999997
VV11,765,grid VV11,894639.51199999999,505798.81900000002
VV12,766,grid VV12,894707.62,505723.17700000003
VV13,767,grid VV13,894796.68500000006,505624.261
VV14,768,grid VV14,894875.272,505536.98
VV15,769,grid VV15,894970.15500000003,505443.304
VV16,770,grid VV16,895053.40099999995,505339.14899999998
VV17,771,grid VV17,895121.50899999996,505263.50699999998
VV18,772,grid VV18,895210.57400000002,505164.59100000001
VV19,773,grid VV19,895294.4,505071.49300000002
VV20,774,grid VV20,895384.62300000002,504994.69199999998
VV21,775,grid VV21,895467.29,504879.47899999999
VV22,776,grid VV22,895545.87600000005,504792.2
VV23,777,grid VV23,895618.64399999997,504699.68099999998
VV24,778,grid VV24,895703.049,504617.641
VV25,779,grid VV25,895792.11399999994,504518.72499999998
VV26,780,grid VV26,895881.75800000003,504430.86599999998
VV27,994,grid VV27,895964.61300000001,504339.28700000001
VV28,995,grid VV28,896035.09100000001,504258.34
VV8,781,grid VV8,894393.85400000005,506083.35100000002
VV9,782,grid VV9,894482.91899999999,505984.435
W11,783,grid W11,892376.14,503772.28
W12,784,grid W12,892446.63500000001,503693.98700000002
W13,785,grid W13,892534.17599999998,503606.02399999998
W14,786,grid W14,892625.40500000003,503504.70400000003
W16,787,grid W16,892809.29099999997,503316.00400000002
W17,788,grid W17,892878.81700000004,503232.52399999998
W18,789,grid W18,892957.147,503136.26799999998
W19,790,grid W19,893036.39399999997,503057.516
W20,791,grid W20,893123.01800000004,502952.049
W21,792,grid W21,893206.41200000001,502868.69199999998
W23,793,grid W23,893381.27399999998,502686.11099999998
W24,794,grid W24,893455.67700000003,502601.11700000003
W25,795,grid W25,893546.44700000004,502491.04499999998
W26,796,grid W26,893621.08900000004,502408.14600000001
W27,944,grid W27,893707.91700000002,502313.65100000001
W28,945,grid W28,893779.72900000005,502233.89500000002
WW10,797,grid WW10,894649.36399999994,505986.8
WW11,798,grid WW11,894737.84900000005,505876.826
WW12,799,grid WW12,894811.196,505795.36499999999
WW13,800,grid WW13,894895.60100000002,505713.32500000001
WW14,801,grid WW14,894974.18799999997,505626.04599999997
WW15,802,grid WW15,895058.01399999997,505532.94900000002
WW16,803,grid WW16,895141.26,505428.79300000001
WW17,804,grid WW17,895230.90399999998,505340.93400000001
WW18,805,grid WW18,895314.72900000005,505247.837
WW19,806,grid WW19,895387.49699999997,505155.31800000003
WW20,807,grid WW20,895477.14099999995,505067.46
WW21,808,grid WW21,895549.90899999999,504974.94199999998
WW22,809,grid WW22,895633.73499999999,504881.84399999998
WW23,810,grid WW23,895723.37899999996,504793.98499999999
WW24,811,grid WW24,895812.44400000002,504695.06900000002
WW25,812,grid WW25,895896.26899999997,504601.97100000002
WW26,813,grid WW26,895974.85600000003,504514.69199999998
WW27,996,grid WW27,896058.98400000005,504424.26
WW28,997,grid WW28,896130.79200000002,504344.50900000002
WW8,814,grid WW8,894479.97400000005,506139.82199999999
WW9,815,grid WW9,894554.48100000003,506080.47700000001
X11,816,grid X11,892484.70499999996,503856.76299999998
X12,817,grid X12,892547.49600000004,503776.46399999998
X13,818,grid X13,892637.245,503687.35
X14,819,grid X14,892717.973,503596.39199999999
X15,820,grid X15,892813.34900000005,503490.46600000001
X16,821,grid X16,892904.57799999998,503389.14600000001
X17,822,grid X17,892966.32,503311.31199999998
X18,823,grid X18,893040.96200000006,503228.41399999999
X19,824,grid X19,893132.19099999999,503127.09399999998
X20,825,grid X20,893215.12699999998,503034.98499999999
X24,826,grid X24,893543.18099999998,502679.90600000002
X25,827,grid X25,893630.26300000004,502583.19099999999
X26,828,grid X26,893709.05200000003,502495.68699999998
X27,946,grid X27,893801.05500000005,502395.065
X28,947,grid X28,893871.51599999995,502314.09299999999
XX10,829,grid XX10,894745.37199999997,506060.14500000002
XX11,830,grid XX11,894820.72,505959.44400000002
XX12,831,grid XX12,894903.17200000002,505873.64600000001
XX13,832,grid XX13,894980.72199999995,505781.74400000001
XX14,833,grid XX14,895069.18500000006,505700.51299999998
XX15,834,grid XX15,895145.37699999998,505615.89399999997
XX16,835,grid XX16,895232.99699999997,505518.58199999999
XX17,836,grid XX17,895316.80700000003,505425.50099999999
XX18,837,grid XX18,895396.80799999996,505336.65100000001
XX19,838,grid XX19,895472.57799999998,505243.99099999998
XX20,839,grid XX20,895556.38899999997,505150.91
XX21,840,grid XX21,895632.15899999999,505058.25099999999
XX22,841,grid XX22,895731.62899999996,504956.28600000002
XX27,998,grid XX27,896148.17200000002,504506.97200000001
XX28,999,grid XX28,896214.92799999996,504427.48599999998
XX9,842,grid XX9,894672.99,506140.533
Y10,843,grid Y10,892499.07400000002,504024.73700000002
Y11,844,grid Y11,892561.27599999995,503955.65500000003
Y12,845,grid Y12,892648.35800000001,503858.94
Y13,846,grid Y13,892723.45799999998,503784.79399999999
Y14,847,grid Y14,892815.14599999995,503692.22600000002
Y17,848,grid Y17,893063.03500000003,503398.39399999997
Y18,849,grid Y18,893145.97100000002,503306.28499999997
Y19,850,grid Y19,893220.15399999998,503214.63500000001
Y20,851,grid Y20,893298.94299999997,503127.13099999999
Y24,852,grid Y24,893639.43700000003,502758.23599999998
Y25,853,grid Y25,893726.06,502652.76899999997
Y26,854,grid Y26,893791.95,502570.32900000003
Y27,948,grid Y27,893893.65300000005,502472.92599999998
Y28,949,grid Y28,893955.34199999995,502396.25599999999
YY16,855,grid YY16,895298.94200000004,505581.30599999998
YY17,856,grid YY17,895417.09900000005,505508.58600000001
YY18,857,grid YY18,895495.10600000003,505410.24900000001
YY19,858,grid YY19,895573.69299999997,505322.97
YY20,859,grid YY20,895652.27899999998,505235.69099999999
YY27,1000,grid YY27,896242.27899999998,504586.89199999999
YY28,1001,grid YY28,896314.35100000002,504512.19400000002
Z10,860,grid Z10,892586.57799999998,504103.52500000002
Z11,861,grid Z11,892657.07299999997,504025.23300000001
Z12,862,grid Z12,892735.86100000003,503937.72899999999
Z13,863,grid Z13,892823.03700000001,503844.41200000001
Z14,864,grid Z14,892885.14500000002,503771.93199999997
Z16,865,grid Z16,893063.45700000005,503573.89799999999
Z19,866,grid Z19,893311.804,503288.81800000003
Z20,867,grid Z20,893390.59299999999,503201.31400000001
Z21,868,grid Z21,893486.42700000003,503104.141
Z22,869,grid Z22,893573.96799999999,503016.179
Z23,870,grid Z23,893644.005,502929.13400000002
Z24,871,grid Z24,893714.04099999997,502842.08899999998
Z25,872,grid Z25,893813.56400000001,502731.55800000002
Z26,873,grid Z26,893879.45400000003,502649.11800000002
Z27,950,grid Z27,893980.46200000006,502555.98499999999
Z28,951,grid Z28,894053.647,502477.42499999999
University Center,874,Dining Hall Offices,893600.03599999996,504546.26799999998
University Center,875,Registrar,893645.19299999997,504465.05
University Center,876,Faculty Club,893682.17299999995,504428.41700000002
University Center,877,Food Court,893741.54099999997,504436.81800000003
University Center,878,Book Store,893889.96,504561.56300000002
University Center,879,Post Office,893815.44099999999,504664.29599999997
University Center,880,1st Floor Lounge,893982.79299999995,504487.30900000001
University Center,881,ATMs,893977.70700000005,504530.68099999998
University Center,882,Convenient Store,894067.99899999995,504468.12400000001
University Center,883,Credit Union,894044.60699999996,504443.06599999999
University Center,884,Toppel,894116.56799999997,504431.93599999999
University Center,885,S.S. Café,894038.22,504381.37099999998
University Center,886,Sabarro,893970.34400000004,504390.185
University Center,887,Pool Office,893997.27899999998,504362.49
University Center,888,WVUM,894080.06299999997,504317.14799999999
University Center,889,Patio,893849.723,504355.50400000002
University Center,890,Pool Area,893911.65599999996,504273.40600000002
University Center,891,ARC,893950.33700000006,504530.01299999998
University Center,892,Student Activities and Organizations,893994.26300000004,504525.60800000001
University Center,893,"Organizations Offices, West",893988.23199999996,504350.34700000001
University Center,894,"Organizations Offices, South",894111.06799999997,504347.06400000001
University Center,895,"Organizations Offices, East",894105.30900000001,504437.78200000001
University Center,896,Flamingo Ballroom,894062.38600000006,504401.13199999998
