case,fid,signal
08003479,430,41
08003482,15,38tpw
08003484,60,27
08003484,60,27
08003501,74,51
08003502,59,26
08003502,105,14har
08003525,62,41
08003534,68,14
08003546,82,32
08003549,48,14
08003609,94,14HAR
08003611,826,27
08003638,790,33
08003642,71,27
08003642,130,27
08003643,916,39
08003646,71,28
08003653,34,41
08003668,797,18
08003674,74,49
08003677,123,54
08003697,70,26
08003737,130,14
08003740,16,27
08003743,440,49
08003745,16,27
08003751,515,39
08003823,35,27
08003867,53,14
08003878,122,26
08003893,62,34
08003905,15,26
08003918,47,26
08003919,31,27
08003921,241,26
08003923,71,14
08003924,74,41
08003928,579,26
08003930,45,14
08003945,493,14
08003948,59,14
08003959,87,26
08003960,40,14
08003972,87,26
08004008,546,27
08004009,730,17
08004014,95,27
08004022,56,26
08004040,717,14
08004044,545,27
08004051,123,14
08004056,76,27
08004072,131,28
08004078,397,14
08004080,46,26
08004090,130,26
08004094,130,26
08004099,130,27
08004100,227,14
08004119,48,14
08004124,54,17
08004191,48,14 TPW
08004239,362,18
08004258,62,34
08004290,196,14
08004299,122,26
08004300,20,14
08004305,683,17
08004321,48,14
08004325,321,14
08004328,8,27
08004351,102,18
08004355,16,14
08004390,7,14
08004400,562,14
08004469,768,17
08004515,387,26
08004518,823,14
08004563,545,14
08004608,512,63
08004665,93,14
08004694,563,16
08004699,862,28
08004703,87,14
08004714,122,41
08004810,122,17
08004814,82,14
08004857,65,27
08004863,27,41
08004868,67,32
08004868,279,28
08004896,893,27
08004903,697,17
08004930,16,14 TPW
08004933,30,14
08004955,55,14 SI
08004959,388,26 res
08004967,7,14
08004976,92,19
08004995,271,17
08004997,323,18
08005026,727,14
08005038,16,14 TPW
08005040,123,14
08005053,577,27
08005065,76,49
08005087,27,43
08005117,81,14
08005122,12,27
08005124,512,63
08005156,122,28
08005164,81,14harr
08005181,131,54
08005217,507,18
08005233,122,21
08005235,221,14tpw
08005237,380,26
08005300,18,22
08005379,320,39
08005425,195,18
08005427,109,14
08005501,537,27
08005509,433,71
08005514,107,14tpw
08005542,12,27un
08005620,239,28
08005674,18,26
08005702,2,27
08005732,634,32
08005760,35,14tpw
08005811,904,14pd
08005845,8,14tpw
08005861,65,41
08005867,868,27
08005980,362,14tpw
08006001,70,27
08006017,791,14tpw
08006037,131,26
08006040,892,27
08006073,338,14tpw
08006081,877,27
08006094,12,27
08006095,32,14tpw
08006109,563,14tpw
08006169,105,14tpw
08006213,19,14tpw
08006242,756,28
08006267,7,27
08006292,95,14
08006294,87,14
08006305,19,14
08006368,142,14tpw
08006377,35,27
08006402109,109,14
08006403,559,41
08006409,122,17
08006420,920,26v
08006435,95,41
08006437,5,32vt
08006439,360,28
08006456,908,14tpw
08006467,299,28
08006499,862,28
08006529,924,14tpw
08006542,877,54
08006563,916,16
08006578,103,25
08006583,80,14tpw
08006593,784,14tpw
08006596,396,14tpw
08006600,173,17
08006632,51,17
08006669,1000,52
08006686,27,14
08006718,62,25f
08006756,18,27
08006781,51,17
08006830,131,52
08006872,219,17
08006880,329,26v?
08006880,329,26
08006886,72,14fp
08006899,47,52
08006925,128,41
08006927,931,41
08006943,81,27
08006950,80,41
08006952,70,14
08006957,26,14ac
08006961,76,27
08006964,510,17
08006980,309,41
08006981,763,63
08007049,969,14tpw
08007059,7,14lpr
08007067,45,14tpw
08007074,81,27
08007088,67,54
08007115,70,33
08007175,70,14
08007184,130,27
08007185,67,35j
08007192,130,35
08007194,73,14
08007198,73,26
08007198,73,26
08007206,29,27
08007216,866,35
08007219,51,35
08007278,129,27
08007281,904,51arr
08007283,131,32
08007286,972,14tpw
08007291,49,26v
08007294,716,27
08007295,766,17
08007299,927,14tpw
08007305,76,14tpw
08007325,74,14
08010416,15,54
08010438,37,27un
08010484,71,28
08010493,880,14
08010519,735,26v
08010527,6,28
08010555,56,27
08010563,82,26
08010581,882,14tpw
08010587,76,27un
08010588,49,17
08010621,540,27v
08010627,22,27un
08010646,73,54
08010651,71,26
08010762,27,27un
08010865,768,14
09000015,601,14tpw
09000053,790,14tpw
09000072,90,27
09000160,76,41
09000166,615,26v
09000204,596,14tpw
09000295,87,39
09000518,131,26
09000519,131,26
09000522,131,26
09000549,128,26
09000553,131,26
09000634,30,27
09000681,256,27v
09000695,849,17
09000699,46,27
09000716,195,14
09000753,648,26V
09000757,122,39tpw
09000801,216,21
09000863,81,27
09000873,280,27v
09000893,51,17
09000895,30,14har
09000901,122,17
09000903,50,17
09000907,769,21
09001025,71,26
09001028,81,27
09001040,862,28
09001058,719,27
09001074,73,54
09001089,30,27
09001117,23,27
09001119,16,14tpw
09001274,125,14tpw
09001284,81,27
09001387,41,27
09001505,16,14tpw
09001624,90,14tpw
09001625,5,14
09001646,56,14tpw
09001653,106,28
09001666,719,27
09001674,34,27
09001693,27,27
09001829,327,28
09001847,296,28v
09001853,131,14cw
09002253,122,14h
09002257,79,14h
09002341,269,39
09002459,122,17
09002480,70,52
09002504,99,27
09002510,588,32
09002513,685,32
09002517,47,54
09002603,512,26v
09002727,563,27
09002866,649,28v
09002868,714,18
09002905,94,14lpr
09002940,249,27
09003003,67,27
09003033,162,28
09003065,973,14tpw
09003077,55,14tpw
09003081,891,27
09003107,431,17
09003119,81,27
09003229,5,27
09003249,65,27
09003252,394,14
09003278,85,14lpr
09003310,74,32
09003310,74,32
09003319,46,32
09003343,45,34
09003348,16,27
09003506,356,32
09003522,356,14
09003526,720,17
09003530,18,27
09003549,5,27
09003655,801,26v
09003706,74,14
09003768,55,43
09003811,96,26
09003816,361,34
09003851,71,26
09003893,320,14h
09003994,2,39
09004035,5,27
09004047,105,32
09004053,8,27
09004123,415,26v
09004243,81,27
09004251,431,27
09004267,226,27
09004372,683,26v
09004498,17,54
09004612,894,27
09004638,82,54
09004821,878,14sus
09004858,92,14 si
09004864,718,27
09004923,7,14
09005148,55,43
09005180,341,21
09005348,55,14si
09005365,367,14si
09005389,890,27
09005509,456,26v
09005541,877,14lpr
09005550,549,14tpw
09005588,123,14h
09005607,867,26v
09005676,849,27b
09005709,7,14h
09005782,103,52
09005849,107,14tpw
09005850,579,49
09005857,81,27
09005860,195,21a
09006014,865,27b
09006015,865,27b
09006147,71,26
09006221,103,14
09006471,64,26
09006482,72,14tpw
09006495,123,14
09006497,67,27
09006625,73,27
09006629,79,27
09006653,431,14tpw
09006657,431,14tpw
09006666,81,27
09006669,74,52
09006711,81,27
09006849,865,27
09006871,194,26v
09006872,45,14
09006873,130,26
09006949,570,34
09006956,821,27b
09007076,71,26
09007096,886,14lpr
09007102,545,52
09007107,32,28
09007132,800,18
09007277,512,14lpr
09007295,22,14lpr
09007302,846,18
09007338,766,17
09007346,279,18
09007351,67,14
09007387,5,26
09007487,70,27
09007506,478,17
09007517,81,28
09007556,122,22
09007599,967,27
09007705,67,14
09007732,37,41
09007741,833,26v
09007770,97,54
09007883,249,26v
09007929,74,52
09007960,13,41
09008183,22,14lpr
09008199,18,27
09008225,81,27
09008398,18,27
09008583,76,14si
09008585,82,14tpw
10002103,73,38
10002103,73,38
10002404,15,14
10002404,15,14
10002405,221,14
10002410,2,41
10002418,87,14
10002452,74,43
10002452,74,43
10002562,109,28
10002562,109,28
10002563,70,27
10002563,70,27
10002646,56,26
10002646,56,26
10002773,381,14
10002782,109,27
10002991,133,38
10002992,640,17
10003000,52,41
10003033,12,27
10003035,103,27
10003209,5,17
10003224,18,41
10003229,130,32
10003234,528,10
10003236,123,27
10003371,688,29
10003378,109,17
10003394,358,27
10003619,129,28
10003777,250,41
10003779,640,27
10003785,16,27
10003836,109,17
10003847,68,28
10003974,65,27
10003981,68,26
10004170,111,27
10004353,98,27
10004365,87,26
10004396,66,14
10004491,13,14
10004494,130,49
10004498,81,27
10004553,83,38
10004572,93,41
10004576,81,27
10004655,29,27
10004690,827,18
10004692,606,27
10004695,620,27
10004696,620,27
10004719,92,27
10004725,130,27
10004826,12,27
10004855,71,26
10004903,128,27
10004933,27,27
10004940,20,27
10004963,76,27
10004966,71,26
10004970,71,26
10004981,47,26
10005005,918,27
10005025,128,34
10005040,130,28
10005057,128,27
10005076,1,27
10005122,880,38
10005172,71,26
10005194,890,27
10005201,880,27
10005216,209,16
10005228,756,38
10005244,76,14
10005285,16,27
10005298,16,14
10005299,76,27
10005328,887,27
10005331,24,27
10005343,24,27
10005349,659,27
10005385,105,28
10005416,73,28
10005426,475,27
10005502,82,27
10005583,27,27
10005593,821,63
10005594,821,63
10005609,35,41
10005653,889,14
10005678,106,26
10005789,616,26
10005854,76,27
10005857,94,14
10005869,880,27
10005957,12,27
10005998,73,26
10006000,123,27bk
10006151,7,27
10006294,931,28
10006294,930,28
10006294,926,28
10006366,72,27
10006403,74,26
10006434,70,14
10006451,17,27
10006453,386,28
10006463,12,27
10006487,129,14
10006503,174,55
10006504,71,14
10006505,70,35
10006508,70,35
10006541,81,27
10006593,16,27
10006613,12,27
10006619,69,27
10006627,881,27
10006633,64,35
10006635,76,35
10006651,718,27
10006663,71,26
10006663,71,26
10006670,70,27
10006670,70,27
10006686,920,27
10006702,76,41
10006709,436,41
10006723,315,27
10006731,18,28
10006743,18,27
10006745,17,27
10006790,630,27
10006792,201,27bk
10006799,27,32
10006804,27,27
10006811,45,27
10006812,22,27bk
10006822,41,29
10006822,41,29
10006844,81,27
10006845,256,28
10006873,818,41
10006887,45,27
10006908,14,27
10006918,128,32
10006924,234,28
10006934,41,27
10006940,290,28
10006942,94,27
10006954,70,14
10006972,129,26
10007002,10,27
10007013,820,27bk
10007058,35,18
10007067,82,14
10007078,122,17
10007084,583,27bk
10007087,16,14
10007112,0,28
10007169,718,27
10007225,91,28
10007269,128,27
10007282,249,26
10007297,490,27
10007298,630,27bk
10007319,70,28
10007368,24,22
10007401,820,27bk
10007411,866,27bk
10007425,431,14
10007431,20,14
10007444,74,41
10007452,879,27
10007454,40,27
10007474,301,17
10007492,123,17
10007493,70,41
10007535,74,26
10007543,175,27bk
10007564,512,27bk
10007570,23,27
10007613,358,27
10007622,789,26
10007630,35,27
10007639,611,27bk
10007649,74,14
10007653,85,41
10007662,791,17
10007664,123,14
10007665,52,41
10007670,16,27
10007744,23,27
10007751,70,14
10007751,70,14
10007751,70,38
10007764,18,27
10007770,82,27
10007774,70,26
10007783,438,26
10007802,30,27
10007808,871,39
10007827,33,14
10007864,800,26
10007878,23,27
10007885,95,14
10007891,27,27
10007901,87,38
10007901,424,52
10007903,71,14
10007927,16,27
10007929,847,27
10007951,72,14
10007974,72,14
10007992,800,39
10008020,544,27bk
10008027,55,43
10008032,67,14
10008034,138,14
10008039,685,27
10008039,784,27
10008041,72,52
10008042,886,14
10008051,72,27
10008064,38,27
10008076,129,44
10008106,71,41
10008111,122,28
10008130,320,28
10008139,751,27
10008171,47,28
10008183,73,26
10008200,76,27
10008226,45,27
10008259,128,52
10008260,131,39
10008261,41,26
10008286,94,27
10008299,922,26
10008302,623,27
10008329,123,14
10008345,65,14
10008377,73,39
10008391,70,14
10008395,822,14
10008401,131,35
10008422,22,14
10008426,22,29
10008450,130,39
10008454,322,39
10008472,65,26
10008474,49,39
10008508,72,27
10008566,45,27
10008572,70,14
10008585,577,27
10008586,90,14
10008613,87,17
10008705,129,32
10008733,585,27bk
10008734,788,27bk
10008740,70,28
10008749,65,32
10008752,292,14
10008753,293,28
10008753,82,28
10008757,766,17
10008770,76,27
10008775,629,27bk
10008777,174,28
10008801,692,27
10008802,692,27
10008823,70,14
10008831,849,27bk
10008838,238,17
10008859,71,14
10008863,76,14
10008864,71,27
10008902,16,27
10008913,723,27
10008975,123,14
10008988,70,14
10008988,70,14
10008999,783,17
10009025,82,27
10009030,29,32
10009036,71,14
10009037,71,26
10009040,848,27
10009050,61,26
10009060,606,27
10009061,63,28
10009070,439,26
10009070,439,26
10009070,439,26
10009081,161,27bk
10009112,72,27
10009117,865,27bk
10009118,577,27bk
10009120,885,27
10009168,201,27bk
10009169,201,27bk
10009175,788,27bk
10009230,16,27
10009235,45,27
10009270,326,28
10009334,73,27
10009345,889,27
10009368,130,27
10009370,200,27bk
10009376,576,27bk
10009390,70,14
10009461,67,26
10009515,110,54
10009537,33,41
10009545,889,14
10009566,23,14
10009572,45,44
10009620,17,27
10009628,54,26
10009629,73,14
10009648,123,32
10009649,878,41
10009751,74,28
10009752,131,26
10009757,22,39
10009765,474,14
10009783,16,32
10009936,451,32
11000040,385,26
11000045,433,14
11000057,419,27
11000127,27,26
11000132,81,14
11000151,416,22
11000192,51,28
11000231,27,27
11000253,662,14
11000270,72,14
11000302,51,35
11000323,71,14
11000328,75,14
11000345,129,14
11000366,54,27
11000373,250,32
11000389,74,14
11000390,51,41
11000393,72,14
11000416,250,14
11000417,250,14
11000431,49,26
11000432,331,43
11000439,576,27
11000444,69,14
11000446,76,27
11000452,49,26
11000456,51,14
11000459,81,27
11000462,596,14
11000464,72,14
11000466,331,41
11000468,72,14
11000469,75,35
11000474,545,27bk
11000494,72,14
11000498,72,35
11000498,848,35
11000499,71,14
11000501,200,35
11000503,54,38
11000533,853,28
11000569,71,49
11000551,486,27bk
11000571,71,14
11000572,131,14
11000583,94,27
11000588,756,17
11000612,715,14
11000623,271,41
11000625,816,14
11000626,41,14
11000628,865,35
11000642,17,41
11000643,65,27
11000645,76,14
11000650,51,14
11000654,110,14
11000660,19,14
11000665,123,14
11000673,65,27
11000675,883,27
11000682,81,41
11000684,49,14
11000691,72,14
11000692,70,14
11000700,76,41
11000705,110,14
11000730,753,41
11000734,70,14
11000736,48,35
11000754,130,14
11000768,22,27
11000786,73,41
11000787,72,14
11000800,877,14
11000811,201,27bk
11000813,19,14
11000818,605,27
11000846,123,27
11000867,55,14
11000877,549,27bk
11000882,123,14
11000886,800,26
11000911,889,41
11000925,73,14
11000930,286,14
11000944,48,14
11000948,71,14
11000948,71,14
11000951,71,41
11000952,40,38
11000961,129,14
11000965,73,14
11000966,18,14
11000967,128,14
11000969,74,34
11000991,494,28
11000998,898,27
11000999,878,27
11001000,70,43
11001001,81,27
11001014,21,14
11001029,353,14
11001034,70,41
11001057,30,14
11001058,73,14
11001063,15,41
11001073,123,14
11001089,82,41
11001112,74,14
11001116,70,14
11001119,71,14
11001120,70,14
11001123,7,14
11001125,7,28
11001141,81,41
11001142,752,41
11001154,48,35
11001155,383,27
11001156,67,41
11001159,419,28
11001162,73,14
11001170,660,14
11001174,260,14
11001189,16,27
11001191,29,14
11001193,545,27bk
11001195,18,14
11001196,85,41
11001200,67,27
11001212,76,27
11001227,73,41
11001228,71,14
11001235,648,26
11001253,141,39
11001255,22,28
11001258,30,14
11001275,132,27
11001282,81,27
11001287,81,52
11001289,123,14
11001296,81,27
11001332,123,27
11001335,874,27
11001346,512,38
11001356,72,14
11001367,892,14
11001371,874,27
11001388,405,27bk
11001394,418,32
11001404,71,14
11001407,12,41
11001410,131,26
11001414,123,14
11001416,41,14
11001418,16,14
11001419,70,27
11001427,62,17
11001429,889,27
11001432,72,14
11001440,67,26
11001448,67,26
11001449,69,38
11001465,885,14
11001466,106,41
11001467,723,14
11001468,73,35
11001473,131,27
11001481,5,27
11001483,21,41
11001490,72,54
11001492,70,14
11001496,76,14
11001520,27,14
11001536,122,27
11001568,362,34
11001570,27,14
11001581,648,14
11001596,16,27
11001597,27,14
11001602,74,41
11001613,91,14
11001621,874,38
11001632,71,14
11001659,123,14
11001662,108,14
11001679,81,27
11001712,109,17
11001734,300,41
11001738,74,28
11001740,71,14
11001763,81,27
11001764,657,14
11001769,22,14
11001782,22,14
11001792,128,14
11001808,67,14
11001808,67,14
11001810,76,35
11001819,17,28
11001830,16,27
11001834,55,43
11001845,320,28
11001847,123,14
11001850,637,14
11001864,878,27
11001865,72,14
11001869,71,14
11001869,878,27
11001869,71,14
11001870,71,14
11001879,21,14
11001908,47,14
11001914,291,41
11001923,73,33
11001925,27,27
11001935,786,27
11001943,27,14
11001951,105,14
11001965,26,38
11001973,47,14
11002014,2,32
11002035,922,19
11002041,20,26
11002079,130,28
11002090,80,28
11002102,300,27
11002119,18,27
11002125,899,41
11002137,123,14
11002140,261,27
11002145,47,14
11002148,278,39
11002168,13,41
11002172,884,41
11002190,20,22
11002218,2,14
11002254,26,41
11002255,82,41
11002272,342,41
11002280,23,32
11002293,70,27
11002306,74,14
11002313,320,27bk
11002318,67,14
11002328,52,14
11002333,70,35
11002356,388,38
11002367,70,27
11002381,71,54
11002388,72,14
11002391,17,41
11002410,7,14
11002415,73,27
11002416,714,28
11002418,877,54
11002421,17,27
11002422,9,41
11002425,17,54
11002432,8,27
11002443,61,14
11002445,322,41
11002489,22,14
11002496,123,14
11002497,769,32
11002513,102,14
11002518,883,14
11002535,16,27
11002544,16,27
11002550,92,14
11002554,132,14
11002558,666,27
11002563,162,27bk
11002578,33,14
11002582,102,14
11002585,819,27
11002610,71,14
11002613,795,14
11002640,261,14
11002656,94,14
11002662,18,14
11002663,328,17
11002667,72,41
11002668,71,28
11002671,109,27bk
11002672,128,14
11002677,32,17
11002707,49,14
11002720,15,49
11002723,67,14
11002725,329,14
11002730,73,14
11002733,887,27
11002734,67,41
11002748,81,27
11002757,129,27
11002762,71,14
11002766,70,26
11002772,692,18
11002776,419,39
11002789,122,17
11002791,614,14
11002822,797,28
11002829,105,14
11002879,105,34
11002891,67,41
11002893,130,34
11002900,8,27
11002902,70,26
11002927,74,14
11002950,605,27bk
11002952,695,16
11002963,105,14
11002982,8,27
11002986,41,14
11003008,67,54
11003009,18,14
11003011,46,26
11003036,765,28
11003037,682,17
11003040,47,14
11003042,70,14
11003047,174,17
11003050,71,35
11003056,682,14
11003078,526,14
11003082,71,14
11003085,123,17
11003093,512,27bk
11003102,80,38
11003107,123,14
11003109,51,35
11003111,596,19
11003123,129,27
11003131,202,14
11003161,848,27bk
11003162,512,14
11003167,109,14
11003171,65,41
11003178,596,14
11003188,12,27
11003196,154,14
11003200,41,27
11003202,103,41
11003203,76,41
11003212,72,27
11003227,65,27
11003230,124,14
11003233,15,41
11003239,123,14
11003251,73,14
11003277,107,63
11003280,131,14
11003281,73,14
11003282,71,14
11003303,660,17
11003306,133,27
11003307,133,27
11003311,81,14
11003312,82,14
11003317,662,17
11003318,72,41
11003319,74,28
11003323,921,26
11003325,16,14
11003338,87,14
11003339,73,14
11003343,32,39
11003350,131,14
11003361,73,14
11003362,45,33
11003389,104,54
11003390,56,14
11003411,18,27
11003438,320,34
11003444,65,28
11003468,396,27
11003510,54,27
11003513,71,14
11003526,81,14
11003538,434,17
11003546,41,14
11003556,73,28
11003565,109,27
11003586,123,14
11003590,70,14
11003612,890,14
11003615,73,41
11003617,640,38
11003627,72,14
11003628,16,27
11003630,71,26
11003657,123,54
11003675,801,27
11003688,72,14
11003688,71,14
11003692,70,14
11003692,70,14
11003719,73,14
11003743,73,14
11003749,70,14
11003789,356,14
11003802,8,14
11003820,65,14
11003858,430,14
11003891,816,33
11003893,98,14
11003929,403,26
11003936,16,27
11003940,81,14
11003941,432,35
11003961,133,27
11003989,431,14
11004029,324,14
11004036,215,17
11004049,215,14
11004071,81,27
11004075,65,14
11004129,7,27
11004139,384,14
11004166,565,41
11004217,109,28
11004234,93,14
11004237,297,17
11004249,200,17
11004274,109,43
11004288,123,14
11004315,65,18
11004352,890,14
11004377,111,14
11004391,105,26
11004432,886,14
11004433,723,14
11004437,26,26
11004444,896,27
11004450,930,19
11004458,970,28
11004505,81,14
11004507,263,27
11004515,25,14
11004628,212,41
11004693,82,27
11004695,16,14
11004731,82,14
11004756,586,22
11004765,480,14
11004773,94,14
11004777,848,27bk
11004868,93,27
11004869,53,17
11004932,54,14
11004939,478,17
11005091,65,39
11005093,872,14
11005094,65,32
11005097,65,14
11005104,71,55
11005108,65,27
11005130,131,26
11005138,328,17
11005139,18,28
11005142,65,27
11005163,123,49
11005190,27,27
11005207,129,32
11005244,67,27
11005261,372,18
11005280,35,27
11005389,350,27bk
11005398,887,27
11005605,76,27
11005643,25,14
11005658,50,14
11005738,649,41
11005745,17,14
11005764,878,27
11005773,580,17
11005816,12,14
11005925,361,27
11005949,67,14
11005982,52,14
11006005,437,14
11006036,48,14
11006077,30,14
11006089,103,27
11006130,14,27
11006134,74,14
11006166,0,27
11006168,19,14
11006180,82,28
11006187,890,14
11006189,865,28
11007020,81,41
11006632,129,27
11006600,849,35
11006405,220,14
11006435,788,41
11006627,68,27
11006582,954,14
11006389,878,14
11006439,71,14
11006579,122,17
11006565,832,26
11006546,71,43
11006551,250,17
11006563,51,14
11007363,16,27
11007369,849,17
11007367,72,27
11007368,41,14
11007283,367,14
11008030,72,14
11008024,361,14
11007940,123,14
11007950,49,27
11008034,46,14
11007948,69,27
11007899,74,27
11007727,130,14
11007856,353,27
11007842,482,27
11007837,864,27
11008049,82,27
11008039,54,17
11008050,82,27
11008046,82,27
11008071,783,14
11007826,159,27
11007424,71,43
11007611,263,14
11007622,143,14
11007636,74,14
11007574,324,14
11007591,71,14
11007609,769,14
11007626,123,54
11007614,877,41
11006991,849,27
11006908,7,27
11006982,27,27
11006973,70,27
11006985,18,27
11006904,305,27
11006954,473,14
11006963,131,41
11006928,74,14
11006897,66,35
11006655,883,14
11006703,789,35
11006840,55,27
11006895,76,35
11006887,912,14
11006794,70,14
11006812,557,27
11006773,74,41
11006759,865,35
11006761,865,35
11006758,606,35
11006752,76,14
11006757,789,55
11006780,71,14
11006782,74,14
11006653,136,28
11006702,72,14
11006736,72,35
11006787,369,17
11006603,123,41
11006584,447,28
11006312,30,14
11006366,70,14
11006308,206,38
11006314,122,14
11006344,70,14
11006272,16,14
11006280,825,14
11006244,70,14
11006246,70,41
11006247,51,35
11006300,513,41
11006284,789,14
11006290,74,14
11006257,846,27
11006383,16,27
11006535,662,41
11007575,141,35
11006461,61,14
11006419,165,38
11006473,53,27
11007001,82,14
11006536,102,14
11007074,28,27
11007070,920,26
11007808,785,14
11007510,70,27
11007580,67,27
11007640,74,14
11007676,70,14
11007675,130,26
11007708,69,14
11007710,73,26
11007628,123,14
11007475,41,27
11007544,41,14
11007529,123,54
11007261,63,27
11007278,8,27
11007251,400,41
11007247,879,38
11007296,888,27
11007390,820,27
11007381,47,14
11007382,788,27
11007462,16,27
11007315,8,27
11007230,409,27
11007419,208,21
11007413,16,27
11007375,820,27
11007429,123,14
11007175,49,43
11007184,81,27
11007191,885,14
11007162,818,14
11007159,821,27
11007160,387,26
11007211,107,14
11007213,122,14
11007130,123,14
11007122,99,17
11007153,32,14
11007177,67,14
11007109,74,28
11007031,76,27
11007169,865,27
11008106,74,27
11008099,348,28
11008106,74,27
11007886,104,14
11008089,799,28
11008037,130,32
11008122,883,54
11008018,257,38
11008146,52,41
11008138,7,14
11008160,16,14
11008219,129,35
11008207,367,14
11008222,70,41
11008220,47,35
11008210,48,14
11008170,130,26
11008253,16,34
11008111,416,17
11008279,16,27
11008259,19,14
11008338,130,27
11007723,67,27
11007722,81,27
11008498,22,14
11008510,866,35
11008511,514,35
11008545,123,14
11008465,194,17
11008482,73,43
11008360,130,26
11008233,67,14
11008276,55,26
11008470,65,41
11008294,70,14
11007510,70,26
11008338,106,14
11008580,261,27
11008923,73,14
11008689,130,27
11008700,40,14
11008675,26,129
11008681,45,14
11008536,74,14
11008694,49,26
11008704,85,17
11008742,889,14
11008733,557,14
11008688,46,14
11008725,74,14
11008721,81,27
11008928,878,41
11008930,880,27
11008951,70,14
11008610,74,14
11008394,76,14
11008646,67,14
11008668,70,14
11008669,70,14
11008665,65,14
11008881,73,14
11008679,128,14
11008985,578,14
11008992,72,27
11008788,123,17
11009097,884,27
11009098,884,27
11008935,892,27
11008939,7,14
11008969,41,38
11009019,123,14
11009061,70,14
11008961,30,27
11009101,110,14
11009144,864,27
11009113,72,27
11009116,735,27
11009165,394,14
11009190,73,14
11009178,55,14
11009278,128,26
11009209,16,27
11009329,858,14
11009317,16,41
11009307,107,27
11009314,46,26
11009294,16,27
11009347,7,27
11009370,16,27
11009790,889,27
11009782,607,28
11009594,182,32
11009364,226,14
11009896,71,14
11009451,131,27
11009444,17,14
11009345,16,27
11009448,63,27
11009503,604,14
11009756,63,26
11009545,67,14
11009975,928,17
11009852,73,14
11009370,16,27
11009537,16,27
11009581,848,14
11009634,41,14
11009625,432,14
11009679,879,41
11009599,16,27
11010202,309,38tpw
11009559,171,28
11009529,864,14fp
12000769,47,14
12000773,11,14
12000767,30,27
12000806,45,14
12000802,94,17
12000821,865,33
12000948,123,14
12000862,23,41
12000857,65,27
12000852,127,14
12000405,67,26
12000550,750,17
12000597,29,27
12000590,899,14
12001082,46,14
12000719,127,14
12000278,7,27
12000917,82,14
12000925,81,27
12001038,18,27
12001013,127,14
12001163,93,54
12001106,22,14
12000836,123,27
12000674,5,27
12001106,123,14
12000834,45,14
11008781,67,27
12001105,17,14
12001092,49,34
12001103,54,17
12000935,129,14
12000798,82,14
12000803,74,14
12000963,5,14
12000787,81,27
12000520,128,34
12000595,22,14
12000530,512,43
12000523,878,14
12000422,70,14
12000454,123,27
12000402,81,14
12000377,12,14
12000396,877,38
12000357,128,26
12000356,128,26
12000358,367,27
12000248,73,14
12000111,879,14
12000014,81,14
12000309,65,41
12000333,81,27
12000175,366,14
12000188,384,21
12000020,325,14
12001222,12,27
12001206,199,27
12001263,127,54
12001304,16,14
12001362,105,34
12001337,16,27
12001195,17,27
12001199,67,38
12001369,72,32
12001377,132,27
12001379,16,27
12001564,73,14
12001416,2,27
12001374,55,43
12001368,12,14
12001587,81,27
12001562,108,41
12001584,74,28
12001581,26,14
12001609,55,27
12001488,94,27
12001607,47,26
12001478,291,28
12001778,107,27
12001763,76,27
12001759,353,27
12001774,109,17
12001609,282,39
12001814,76,14
12001892,123,14
12001824,67,41
12001818,74,28
12001936,129,14
12001939,210,14
12001932,107,28
12002094,65,29
12002109,81,27
12002126,72,14
12002174,491,54
12002164,131,54
12002166,67,27
12002161,394,32
12002182,308,14
12002268,8,27
12002292,76,14
12002311,54,49
12002264,8,27
12002209,70,14
12002305,71,14
12002250,16,14
12002362,73,14
12002348,849,14
12002325,122,14
12002382,55,43
12002394,74,14
12002388,76,27
12002417,47,27
12002439,979,28
12002437,910,28
12002438,901,28
12002416,73,14
12002478,76,35
12002558,107,26
12001852,16,14
12001858,81,14
12001656,41,27
12001653,74,27
12002592,81,27
12002638,332,14
12002639,122,28
12002598,899,27
12002596,139,28
12002543,45,54
12002687,2,14
12002683,799,17
12002615,865,55
12002552,67,14
12002728,70,14
12002621,18,14
12002613,229,14
12002618,76,14
12002814,17,41
12002810,944,14
12002812,372,14
12003714,789,27
12003646,74,28
12003552,54,54
12003647,73,27
12003640,109,14
12003642,74,28
12003638,16,14
12003310,826,14
12003359,585,18
12003315,30,14
12003428,15,14
12003234,81,28
12003375,70,14
12003327,796,35
12002988,417,35
12003084,170,27
12003160,662,16
12003266,105,32
12003250,109,27
12003030,715,28
12003061,863,27
12003273,70,14
12003107,74,26
12003087,26,14
12002264,8,14
12003282,85,35
12003224,51,35
12003037,23,25
12003159,76,41
12003091,35,14
12002923,66,35
12002990,73,39
12002866,769,14
12003749,70,14
12003748,46,49
12003689,81,28
12003739,74,49
12003722,22,41
12003919,71,26
12004111,551,14
12004325,131,14
12004544,889,14
12003750,37,14
12004569,231,28
12004998,82,27
12003854,73,35
12004744,123,14
12005094,2,27
12005297,16,14
12005266,491,14
12005177,969,28
12005335,954,27
12005054,67,14
12005459,710,14
12005583,21,38
12005560,70,27
12005505,27,41
12005510,819,14
12005620,866,27
12005535,952,28
12005224,5,14
12005909,103,14
12005872,983,26
12006017,67,14
12006129,131,27
12006186,250,14
12006243,74,14
12006279,17,14
12006274,70,28
12006379,326,35
12006255,35,14
12006307,72,35
12006394,27,14
12006392,123,14
12006343,70,14
12006345,74,35
12006440,70,14
12006441,47,35
